"YEAR","CASEID","PERNUM","LINENO","WT06","OCC2_CPS8","IND2_CPS8","IND_CPS8","WRKHOMEABLE"
2018,20180101180006,1,1,9456371.809235000,132,270,8660,99
2018,20180101180021,1,1,4010485.701269000,190,145,2170,99
2018,20180101180025,1,1,35193935.27635200,9999,9999,99999,99
2018,20180101180054,1,1,2251397.560653000,9999,9999,99999,99
2018,20180101180060,1,1,1029459.191769000,9999,9999,99999,0
2018,20180101180087,1,1,7057540.410396000,130,251,8270,0
2018,20180101180096,1,1,9342462.996486000,9999,9999,99999,99
2018,20180101180108,1,1,4062764.310834000,9999,9999,99999,99
2018,20180101180145,1,1,3904603.218155000,150,251,8170,1
2018,20180101180146,1,1,12573637.99199200,9999,9999,99999,99
2018,20180101180165,1,1,8828596.593966000,132,271,8680,99
2018,20180101180507,1,1,6838463.413399000,140,131,2980,1
2018,20180101180519,1,1,3359940.704578000,9999,9999,99999,99
2018,20180101180521,1,1,7204886.785256000,9999,9999,99999,99
2018,20180101180524,1,1,8055527.001253000,110,220,7380,99
2018,20180101180532,1,1,3834467.929304000,110,220,7380,1
2018,20180101180542,1,1,9701348.702213000,110,220,7380,99
2018,20180101180549,1,1,6950849.522640000,111,9999,6672,1
2018,20180101180553,1,1,3952293.608820000,124,220,7270,1
2018,20180101180555,1,1,13119116.63167200,9999,9999,99999,99
2018,20180101180571,1,1,97078473.04645100,125,240,7890,99
2018,20180101180576,1,1,5292216.291748000,111,220,7280,1
2018,20180101180577,1,1,1366876.105705000,140,160,5380,0
2018,20180101180595,1,1,6168799.938628000,131,300,9470,0
2018,20180101180604,1,1,6987395.885432000,200,170,6070,0
2018,20180101180623,1,1,1796119.966473000,9999,9999,99999,99
2018,20180101180648,1,1,18630164.33021800,150,231,7580,1
2018,20180101180652,1,1,17059449.84273100,190,132,3095,0
2018,20180101180660,1,1,6231239.618898000,132,271,8680,0
2018,20180101180666,1,1,4330605.267862000,180,290,8770,99
2018,20180101180685,1,1,7097715.779353000,9999,9999,99999,99
2018,20180101180691,1,1,3070954.440865000,9999,9999,99999,99
2018,20180101180700,1,1,37846579.66807800,170,120,770,0
2018,20180101180708,1,1,8731379.523212000,110,260,8560,0
2018,20180101180710,1,1,5202448.899047000,9999,9999,99999,99
2018,20180101180723,1,1,7910517.714898000,9999,9999,99999,0
2018,20180101180726,1,1,21304943.77842800,170,160,4870,0
2018,20180101180730,1,1,2942117.419336000,110,250,8190,1
2018,20180101180735,1,1,6375486.299465000,9999,9999,99999,99
2018,20180101180744,1,1,4291717.528235000,9999,9999,99999,99
2018,20180101180750,1,1,2743551.279865000,150,251,8180,1
2018,20180101180752,1,1,3793233.673988000,9999,9999,99999,99
2018,20180101180759,1,1,2351912.362297000,9999,9999,99999,99
2018,20180101180788,1,1,7455503.713349000,127,251,8070,1
2018,20180101180790,1,1,3124079.978391000,140,196,6770,99
2018,20180101180797,1,1,18826501.68140200,9999,9999,99999,99
2018,20180101180806,1,1,3192400.068168000,127,251,8090,0
2018,20180101180817,1,1,12416167.09045500,9999,9999,99999,99
2018,20180101180830,1,1,21251222.90865900,180,300,9370,0
2018,20180101180857,1,1,6996488.702055000,110,150,4195,0
2018,20180101180869,1,1,13308050.09419600,190,132,3190,0
2018,20180101180872,1,1,21701804.19989900,180,231,7770,99
2018,20180101180886,1,1,6186522.166375000,150,200,6870,0
2018,20180101180892,1,1,5239323.285713000,140,210,7070,1
2018,20180101180897,1,1,28096448.19742200,111,200,6970,1
2018,20180101180898,1,1,4201260.060006000,9999,9999,99999,99
2018,20180101180912,1,1,17360737.16618500,9999,9999,99999,99
2018,20180101180916,1,1,5934977.205441000,120,150,4170,1
2018,20180101180919,1,1,24347798.61170600,9999,9999,99999,99
2018,20180101180956,1,1,3506484.393231000,170,120,770,99
2018,20180101180967,1,1,5710027.697326000,9999,9999,99999,99
2018,20180101180972,1,1,1957606.153307000,125,252,8470,0
2018,20180101180977,1,1,4699463.950027000,140,160,4770,99
2018,20180101180999,1,1,7455266.227731000,9999,9999,99999,99
2018,20180101181029,1,1,8274510.663929000,9999,9999,99999,99
2018,20180101181032,1,1,4659248.802118000,9999,9999,99999,99
2018,20180101181047,1,1,3576347.234732000,125,240,7860,0
2018,20180101181055,1,1,3173797.603028000,120,220,7380,1
2018,20180101181060,1,1,3746066.150750000,9999,9999,99999,99
2018,20180101181081,1,1,6403860.421038000,190,9999,3875,1
2018,20180101181092,1,1,2801597.208503000,121,220,7390,99
2018,20180101181121,1,1,6177048.569084000,120,292,9170,1
2018,20180101181125,1,1,8693605.695297000,9999,9999,99999,99
2018,20180101181130,1,1,10595243.86514000,126,191,6570,99
2018,20180101181156,1,1,49301545.41504200,111,200,6970,99
2018,20180101181166,1,1,4093796.387388000,9999,9999,99999,99
2018,20180101181180,1,1,17507113.62192300,150,170,6370,0
2018,20180101181184,1,1,3927274.704711000,134,300,9480,1
2018,20180101181193,1,1,4733451.581172000,150,240,7870,1
2018,20180101181198,1,1,9245756.356661000,9999,9999,99999,99
2018,20180101181203,1,1,6478636.906899000,9999,9999,99999,99
2018,20180101181208,1,1,6238226.514917000,9999,9999,99999,99
2018,20180101181223,1,1,5825036.485658000,122,300,9490,0
2018,20180101181224,1,1,5470522.364252000,9999,9999,99999,99
2018,20180101181226,1,1,8186839.306729000,9999,9999,99999,99
2018,20180101181236,1,1,18465298.40326700,9999,9999,99999,99
2018,20180101181240,1,1,4627744.115063000,9999,9999,99999,99
2018,20180101181251,1,1,3188985.758179000,9999,9999,99999,99
2018,20180101181260,1,1,6802719.856546000,9999,9999,99999,99
2018,20180101181279,1,1,14918916.32101900,9999,9999,99999,99
2018,20180101181306,1,1,48835440.47908900,9999,9999,99999,99
2018,20180101181314,1,1,11115790.41136300,130,250,8190,99
2018,20180101181326,1,1,5062428.684436000,9999,9999,99999,99
2018,20180101181336,1,1,6660539.663288000,132,292,9170,0
2018,20180101181342,1,1,13626085.14049900,120,220,7270,99
