Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
Albania,ALB,..,..,31.7,..,..,30.6,..,..,30,..,..,..,29,..,34.6,32.9,33.7,33.2,..
Angola,AGO,52,..,..,..,..,..,..,..,42.7,..,..,..,..,..,..,..,..,..,51.3
Armenia,ARM,..,35.4,34.8,33,37.5,36,29.7,31.2,29.2,28,30,29.4,29.6,30.6,31.5,32.4,32.5,33.6,34.4
Austria,AUT,28.8,..,..,29.5,29.8,28.7,29.6,30.6,30.4,31.5,30.3,30.8,30.5,30.8,30.5,30.5,30.8,29.7,..
Bangladesh,BGD,33.4,..,..,..,..,33.2,..,..,..,..,32.1,..,..,..,..,..,32.4,..,..
Belgium,BEL,33.1,..,..,28.1,30.5,29.3,28.1,29.2,28.4,28.6,28.4,28.1,27.5,27.7,28.1,27.7,27.6,27.4,..
Benin,BEN,..,..,..,38.6,..,..,..,..,..,..,..,43.4,..,..,..,47.8,..,..,..
Bolivia,BOL,61.6,57.4,59.3,..,55,58.5,56.7,54.5,50.8,49.2,..,46.1,46.6,47.6,47.8,46.7,44.6,44,42.2
Bosnia and Herzegovina,BIH,..,30,..,..,34,..,..,33.1,..,..,..,33,..,..,..,..,..,..,..
Botswana,BWA,..,..,64.7,..,..,..,..,..,..,60.5,..,..,..,..,..,53.3,..,..,..
Brazil,BRA,..,58.4,58.1,57.6,56.5,56.3,55.6,54.9,54,53.7,..,52.9,53.5,52.8,52.1,51.9,53.3,53.3,53.9
Bulgaria,BGR,..,..,..,..,..,..,35.7,36.1,33.6,33.8,35.7,34.3,36,36.6,37.4,38.6,40.6,40.4,..
Burkina Faso,BFA,..,..,..,43.3,..,..,..,..,..,39.8,..,..,..,..,35.3,..,..,..,..
Burundi,BDI,..,..,..,..,..,..,33.4,..,..,..,..,..,..,38.6,..,..,..,..,..
Cabo Verde,CPV,..,52.5,..,..,..,..,..,47.2,..,..,..,..,..,..,..,42.4,..,..,..
Cambodia,KHM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Cameroon,CMR,..,42.1,..,..,..,..,..,42.8,..,..,..,..,..,..,46.6,..,..,..,..
Canada,CAN,33.3,..,..,..,33.7,..,..,33.8,..,..,33.6,..,..,33.8,..,..,..,33.3,..
Central African Republic,CAF,..,..,..,43.6,..,..,..,..,56.2,..,..,..,..,..,..,..,..,..,..
Chad,TCD,..,..,..,39.8,..,..,..,..,..,..,..,43.3,..,..,..,..,..,..,..
Chile,CHL,52.8,..,..,51.5,..,..,47.3,..,..,47,..,46,..,45.8,..,44.4,..,44.4,..
China,CHN,..,..,42,..,..,40.9,..,..,43,..,43.7,42.4,42.2,39.7,39.2,38.6,38.5,..,..
Colombia,COL,58.7,57.2,55.8,53.4,54.8,53.7,..,..,55.5,54.4,54.7,53.5,52.7,52.8,52.7,51.1,50.8,49.7,50.4
Comoros,COM,..,..,..,..,55.9,..,..,..,..,..,..,..,..,..,45.3,..,..,..,..
"Congo, Dem. Rep.",COD,..,..,..,..,42.2,..,..,..,..,..,..,..,42.1,..,..,..,..,..,..
"Congo, Rep.",COG,..,..,..,..,..,47.3,..,..,..,..,..,48.9,..,..,..,..,..,..,..
Costa Rica,CRI,47.4,51.6,51.9,49.3,48.3,47.5,49.4,49.3,48.7,50.6,48.2,48.7,48.6,49.3,48.6,48.4,48.7,48.3,48
Cote d'Ivoire,CIV,..,..,41.3,..,..,..,..,..,43.2,..,..,..,..,..,..,41.5,..,..,..
Croatia,HRV,..,..,..,..,..,..,..,..,..,32.6,32.4,32.3,32.5,32,32.1,31.1,30.9,30.4,..
Cyprus,CYP,..,..,..,..,30.1,30.3,31.1,31.1,31.7,32.1,31.5,32.6,34.3,37,35.6,34,32.9,31.4,..
Czech Republic,CZE,..,..,26.6,..,27.5,26.9,26.7,26,26.3,26.2,26.6,26.4,26.1,26.5,25.9,25.9,25.4,24.9,..
Denmark,DNK,23.8,..,..,25.6,24.9,25.2,25.9,26.2,25.2,26.7,27.2,27.3,27.8,28.5,28.4,28.2,28.2,28.7,..
Djibouti,DJI,..,..,40,..,..,..,..,..,..,..,..,..,45.1,44.1,..,..,..,41.6,..
Dominican Republic,DOM,51.5,50,49.7,52.1,52.1,50,52,48.9,48.1,48.9,47.3,47.7,46.1,47.7,44.3,45.2,45.7,42.2,43.7
Ecuador,ECU,56.4,..,..,53.4,53.9,53.1,52.2,53.3,49.7,48.4,48.7,45.9,46.1,46.9,45,46,45,44.7,45.4
"Egypt, Arab Rep.",EGY,..,..,..,..,31.8,..,..,..,31.1,..,30.2,..,28.3,..,..,31.8,..,31.5,..
El Salvador,SLV,51.5,51.4,51.9,50.4,47.8,48.5,45.7,45.2,46.9,45.8,43.5,42.3,41.8,43.4,41.6,40.6,40,38,38.6
Equatorial Guinea,GNQ,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Eritrea,ERI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Estonia,EST,..,..,..,37.2,33.6,33.4,33.7,31.2,31.9,31.4,32,32.5,32.9,35.1,34.6,32.7,31.2,30.4,..
Eswatini,SWZ,53.1,..,..,..,..,..,..,..,..,51.5,..,..,..,..,..,..,54.6,..,..
Ethiopia,ETH,..,..,..,..,29.8,..,..,..,..,..,33.2,..,..,..,..,35,..,..,..
Fiji,FJI,..,..,38.1,..,..,..,..,..,40.4,..,..,..,..,36.7,..,..,..,..,..
Finland,FIN,27.2,..,..,27.7,27.9,27.6,28,28.3,27.8,27.5,27.7,27.6,27.1,27.2,26.8,27.1,27.1,27.4,..
France,FRA,31.1,..,..,31.4,30.6,29.8,29.7,32.4,33,32.7,33.7,33.3,33.1,32.5,32.3,32.7,31.9,31.6,..
Gabon,GAB,..,..,..,..,..,42.2,..,..,..,..,..,..,..,..,..,..,..,38,..
"Gambia, The",GMB,..,..,..,47.3,..,..,..,..,..,..,43.6,..,..,..,..,35.9,..,..,..
Georgia,GEO,40.5,39.6,37.2,36.7,36.2,37.4,36.9,38.1,38.5,38.2,39.5,39.6,39,38.6,37.6,36.5,36.6,37.9,36.4
Germany,DEU,28.8,30.3,29.9,30,30.4,32.1,31.3,31.3,31.1,30.5,30.2,30.5,..,31.1,..,31.7,31.9,..,..
Ghana,GHA,..,..,..,..,..,42.8,..,..,..,..,..,..,42.4,..,..,..,43.5,..,..
Greece,GRC,34.2,..,..,32.8,33.6,34.6,35.1,34,33.6,33.6,34.1,34.8,36.3,36.1,35.8,36,35,34.4,..
Guatemala,GTM,54.2,..,..,..,..,..,54.6,..,..,..,..,..,..,..,48.3,..,..,..,..
Guinea,GIN,..,..,43,..,..,..,..,39.4,..,..,..,..,33.7,..,..,..,..,..,..
Guinea-Bissau,GNB,..,..,35.6,..,..,..,..,..,..,..,50.7,..,..,..,..,..,..,..,..
Guyana,GUY,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Haiti,HTI,..,..,..,..,..,..,..,..,..,..,..,..,41.1,..,..,..,..,..,..
Honduras,HND,..,55.6,55.7,58.1,58.1,59.5,57.5,55.8,55.5,51.3,53.1,56.2,56.1,52.6,50.4,49.6,51.1,50.5,52.1
Hungary,HUN,..,..,..,..,29.9,34.7,28.3,27.9,27.5,27,29.4,29.2,30.8,31.5,30.9,30.4,30.3,30.6,..
Iceland,ISL,..,..,..,26.8,28,29,30.2,29.5,31.8,28.7,26.2,26.8,26.8,25.4,27.8,26.8,..,..,..
India,IND,..,..,..,..,34.4,..,..,..,..,35.4,..,35.7,..,..,..,..,..,..,..
Indonesia,IDN,28.6,29,31.7,31.9,32.7,33,34.3,35.7,35.2,35.1,36.4,39.7,39.7,40,39.4,39.7,38.6,38.1,37.8
"Iran, Islamic Rep.",IRN,..,..,..,..,..,43.6,44.8,..,..,42.1,..,..,..,37.4,38.8,39.5,40,40.8,..
Iraq,IRQ,..,..,..,..,..,..,28.6,..,..,..,..,..,29.5,..,..,..,..,..,..
Ireland,IRL,33,..,..,32.9,33.6,33.8,32.7,31.9,30.9,32.7,32.3,32.9,33.2,33.5,31.9,31.8,32.8,..,..
Israel,ISR,..,38.9,..,..,..,41.8,..,41.1,..,..,42.5,..,41.3,..,39.8,..,39,..,..
Italy,ITA,35.3,..,..,34.9,34.3,33.8,33.7,32.9,33.8,33.8,34.7,35.1,35.2,34.9,34.7,35.4,35.2,35.9,..
Jamaica,JAM,..,..,48.3,..,45.5,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Japan,JPN,..,..,..,..,..,..,..,..,34.8,..,32.1,..,..,32.9,..,..,..,..,..
Jordan,JOR,..,..,37,..,..,..,33.9,..,32.6,..,33.7,..,..,..,..,..,..,..,..
